admin1Name_en,admin1Name_ar,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_ar,admin1AltName2_ar,admin0Name_en,admin0Name_ar,admin0Pcode,F,M,T,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_59,F_70_74,F_75_79,F_80_plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_59,M_70_74,M_75_79,M_80_plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_59,T_70_74,T_75_79,T_80_plus
Abyan,أبين,YE12,<Null>,<Null>,<Null>,<Null>,<Null>,Yemen,اليمن,YE,278999,288997,567997,35541,34156,29439,27736,28399,26703,22318,18199,14594,11520,9047,6973,5025,3537,2654,1755,1403,37070,35591,30521,29239,31228,29546,23462,18157,14295,11118,8890,6912,4754,3167,2315,1510,1222,72612,69748,59957,56975,59628,56247,45779,36356,28889,22639,17938,13886,9778,6704,4968,3267,2626
Aden,عدن,YE24,<Null>,<Null>,<Null>,<Null>,<Null>,Yemen,اليمن,YE,428999,495999,925002,71263,67553,43833,31918,32555,31691,29963,27263,23075,19072,15326,11967,8872,6272,4191,2473,1712,93376,89634,52107,31756,33416,33549,33792,31675,24965,19336,16148,12955,9161,6129,3991,2324,1685,164638,157189,95941,63675,65971,65243,63756,58937,48039,38408,31472,24925,18030,12400,8184,4796,3398
Al Bayda,البيضاء,YE14,<Null>,<Null>,<Null>,<Null>,<Null>,Yemen,اليمن,YE,380000,379991,760007,62823,56967,44689,39742,38844,34736,25722,18584,14471,11346,9387,7623,5526,3843,2675,1667,1355,63988,57901,44308,39815,41309,37699,27051,18481,13320,9597,7680,6142,4470,3178,2318,1508,1226,126814,114869,89000,79554,80156,72434,52773,37064,27793,20944,17069,13766,9998,7020,4995,3176,2582
Al Dhale'e,الضالع,YE30,<Null>,<Null>,<Null>,<Null>,<Null>,Yemen,اليمن,YE,343996,376002,720002,60286,49324,39125,36358,34120,30243,23407,17701,13541,10378,8569,6942,4914,3383,2514,1695,1496,66008,53624,42636,40329,38836,34614,26230,19312,14399,10741,8845,7129,5009,3375,2277,1400,1238,126294,102947,81763,76687,72957,64859,49637,37013,27939,21120,17415,14069,9924,6759,4792,3096,2731
Al Hudaydah,الحديدة,YE18,<Null>,<Null>,<Null>,<Null>,<Null>,Yemen,اليمن,YE,1549006,1640000,3189003,285899,235281,172157,148702,140276,126125,107969,88997,63626,45195,39176,32946,23048,15458,10765,6848,6538,302688,248684,182720,160036,153678,138406,113796,90472,64960,46316,38763,32043,24001,17338,12097,7532,6470,588585,483963,354877,308738,293952,264531,221764,179471,128589,91507,77943,64988,47049,32794,22862,14381,13009
Al Jawf,الجوف,YE16,<Null>,<Null>,<Null>,<Null>,<Null>,Yemen,اليمن,YE,261995,326999,589005,51949,41938,29284,24879,25454,22924,15046,9811,10418,10190,7938,5758,3331,1606,850,397,222,60334,48844,31206,28159,38137,37772,23926,13711,11478,9664,7921,6280,4206,2586,1526,777,472,112287,90782,60490,53041,63591,60697,38973,23522,21894,19854,15861,12038,7535,4196,2378,1172,694
Al Maharah,المهرة,YE28,<Null>,<Null>,<Null>,<Null>,<Null>,Yemen,اليمن,YE,66002,84000,149997,14022,11322,7483,5934,5657,5035,3954,3064,2449,1948,1592,1262,862,561,383,243,231,16821,13536,8767,6953,6900,6459,5862,5062,3692,2641,2170,1739,1229,838,598,386,347,30843,24858,16247,12887,12556,11494,9818,8125,6139,4590,3764,3000,2092,1399,979,631,575
Al Mahwit,المحويت,YE27,<Null>,<Null>,<Null>,<Null>,<Null>,Yemen,اليمن,YE,343002,352001,695005,52906,47330,40393,37716,34919,30617,24250,18724,13660,10078,8942,7680,5517,3852,2805,1860,1753,56063,49997,42589,39905,37138,32255,24491,18040,12751,9056,7658,6501,5130,3933,2851,1869,1774,108969,97329,82982,77619,72057,62871,48740,36763,26411,19134,16599,14184,10648,7785,5658,3730,3526
Amanat Al Asimah,أمانة العاصمة,YE13,<Null>,<Null>,<Null>,<Null>,<Null>,Yemen,اليمن,YE,1350883,1597584,2948471,317049,272473,150365,93106,98225,94151,84303,71688,49680,33036,27431,22114,14692,9349,6165,3808,3248,344544,295896,162739,102700,115609,116703,117046,106574,70028,43636,37279,30944,21881,14602,8936,4791,3676,661592,568370,313103,195810,213835,210855,201349,178260,119709,76672,64710,53057,36573,23953,15100,8599,6924
Amran,عمران,YE29,<Null>,<Null>,<Null>,<Null>,<Null>,Yemen,اليمن,YE,520000,532003,1052004,95717,81554,64192,56044,48683,41301,33279,26193,18918,13700,11656,9729,7107,4964,3373,2022,1568,97825,83040,65612,58679,53370,45947,35142,26041,18389,12843,10106,7979,5994,4396,3128,1961,1551,193538,164593,129805,114722,102054,87250,68423,52235,37307,26544,21760,17712,13099,9357,6502,3985,3118
